Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Total_EMI_per_month,Monthly_Balance,Credit_Score
37,25014,1306,5,7,11.91,2,27,3,50488,85.96,7,8346,6817,Poor
48,20221,1749,5,4,12.28,0,60,10,41145,64.7,4,23584,40363,Poor
53,60538,5409,4,6,13.05,2,35,4,25144,42.84,13,22194,99059,Poor
32,100676,8554,3,7,15.96,0,19,9,27549,43.69,19,19879,86813,Poor
41,80946,6649,4,4,15.22,5,10,2,37196,51.39,21,20291,44933,Poor
26,127272,11555,2,5,9.49,1,9,0,6057,27.04,16,20030,10545,Good
50,74321,7007,6,4,19.37,3,31,12,31979,18.28,23,181,99430,Poor
27,122029,10039,2,3,21.08,5,33,14,6582,55.17,30,27798,16906,Standard
50,37477,3764,4,6,24.0,3,39,13,71810,45.13,6,24368,63216,Poor
49,53972,5036,2,5,20.32,4,31,7,35992,44.59,23,9362,31735,Poor
38,64020,4989,5,2,7.77,1,24,4,28043,10.78,14,10842,72121,Poor
50,74496,5335,2,7,12.79,4,60,0,75456,39.23,1,11526,40139,Poor
45,131863,11814,4,4,14.76,2,27,15,3804,40.0,22,22254,53994,Standard
31,130166,10804,2,1,23.14,4,36,0,11003,62.85,5,28404,61515,Poor
32,26590,1747,4,6,9.23,2,21,12,36471,72.68,27,13813,34065,Poor
26,81644,5842,6,1,25.0,2,14,2,5276,72.88,8,6532,3671,Standard
60,39973,2819,2,8,18.39,4,60,6,60952,67.95,25,12087,22992,Poor
59,99593,9272,6,2,20.56,1,19,3,75849,7.31,10,18867,89781,Standard
45,71990,6927,6,4,6.52,5,53,7,13356,67.75,10,27862,90687,Poor
59,125582,9712,5,1,11.94,3,42,11,9038,50.54,11,414,56057,Standard
52,33833,2706,3,8,19.15,3,11,8,70539,74.72,15,14272,96817,Poor
58,55179,4258,2,2,10.58,3,15,14,74691,59.93,13,11023,4761,Poor
52,131536,10626,2,8,9.24,2,21,8,78139,68.11,9,18212,2330,Poor
54,144264,11413,1,4,19.4,3,35,7,62402,63.13,16,14685,3260,Poor
26,58566,4333,4,4,11.12,4,23,15,72544,52.78,14,24442,73140,Poor
42,66112,5948,4,5,11.13,1,7,6,41359,15.76,18,24975,91461,Standard
32,45105,3201,6,8,10.53,4,48,9,13176,79.94,10,7454,48301,Poor
32,59618,3996,6,3,10.49,0,35,9,16551,62.41,25,16085,14446,Poor
21,95243,7518,4,8,13.81,1,3,8,62616,15.27,3,13130,65454,Standard
25,95631,8258,6,1,8.03,4,60,9,11164,94.45,4,18286,55548,Poor
59,98135,8796,5,4,20.51,3,28,14,38974,82.41,14,10006,75531,Poor
60,27894,2572,6,2,23.95,1,40,6,34687,64.44,6,7859,23782,Poor
56,29838,1806,1,7,14.01,4,30,9,4278,25.83,23,9264,93141,Standard
50,29329,2851,2,5,20.76,5,37,6,55723,15.33,8,21221,20528,Poor
38,128348,9986,1,1,8.32,2,38,9,57560,16.19,23,9964,92715,Standard
46,143558,11520,5,8,13.76,4,2,13,42247,59.33,1,2992,31005,Poor
64,129570,11559,5,1,24.99,5,52,8,75529,8.62,25,5740,62669,Standard
54,105394,8687,3,3,24.94,3,40,15,11959,47.3,14,10921,43081,Standard
63,33710,3565,2,6,13.23,3,18,12,72102,8.3,3,10306,34082,Poor
41,35194,3918,4,1,18.15,4,29,13,7104,21.88,12,20402,66338,Standard
61,77939,7050,1,4,10.34,1,59,9,57424,84.28,16,3978,4783,Poor
61,99806,8953,2,3,11.22,0,35,13,12217,25.22,27,29914,15871,Good
50,144133,11251,6,3,14.97,5,18,8,54459,80.13,16,7986,60871,Poor
56,38958,3031,2,3,22.28,2,49,13,44548,89.08,17,8754,1336,Poor
39,115164,9208,5,8,22.31,3,34,15,45236,34.92,25,17807,50441,Standard
50,142270,11514,2,4,16.44,1,54,13,5720,33.64,16,23108,50968,Good
45,149553,12821,6,3,14.91,0,8,10,13154,83.68,15,3267,69937,Good
50,22011,2313,2,7,22.42,1,4,15,34737,35.47,23,13024,86175,Standard
26,131642,10642,6,7,24.08,5,45,15,70912,8.23,3,7692,83727,Poor
64,140708,11313,2,2,13.68,0,48,3,58153,19.97,10,29603,4794,Standard
23,62516,5839,1,5,12.17,3,9,7,69621,42.08,22,25969,24600,Poor
31,42946,2739,5,7,17.39,1,31,4,30433,46.5,9,15059,34466,Poor
63,21231,2609,4,5,18.55,1,4,14,45293,93.89,10,20936,56615,Poor
65,52780,4333,3,4,24.99,3,6,7,49986,56.47,19,9695,92655,Poor
39,22875,2605,6,7,10.49,4,55,1,79482,72.07,27,29627,38512,Poor
35,99569,8939,3,4,17.73,4,16,4,12735,86.31,21,1291,41492,Standard
49,24373,2217,3,3,6.8,2,20,13,23021,23.07,26,17675,48953,Poor
54,85771,8017,3,3,10.14,3,51,9,44396,77.38,15,2467,19449,Poor
35,132740,11446,6,7,24.35,4,23,2,51717,6.25,18,4049,60609,Standard
44,108188,9548,6,5,16.69,5,60,11,14201,65.74,16,820,82205,Standard
56,62992,6123,5,4,17.95,5,52,14,39608,63.43,4,4580,6943,Poor
23,59893,4999,1,2,9.7,4,8,12,59459,38.39,24,22822,71804,Standard
47,96983,8601,6,3,22.71,5,6,15,53492,89.51,9,1072,91476,Poor
44,48477,3947,4,4,22.11,0,43,11,71364,86.15,21,11753,8936,Poor
46,56160,4068,1,8,6.83,1,41,0,6629,75.81,8,4126,75000,Poor
34,28992,3115,5,4,16.73,1,21,4,78116,5.26,28,4741,18038,Poor
55,52853,5039,2,2,18.22,0,8,0,46955,76.1,8,19295,43437,Poor
22,42838,3112,1,3,19.83,4,7,2,62422,45.34,12,16817,78812,Poor
27,79245,6634,2,1,19.54,5,33,9,60036,62.9,1,1993,63781,Poor
46,75872,6727,1,8,19.25,3,4,2,42219,59.75,3,4135,37046,Poor
60,102978,8779,5,6,12.62,4,33,9,59469,50.5,14,3249,92983,Poor
28,131777,11321,6,4,13.6,1,26,10,59441,40.89,24,3115,41966,Poor
48,60963,5442,3,6,24.07,5,59,15,8799,13.21,3,3054,57606,Poor
27,117594,10312,3,3,16.13,4,35,10,16021,41.97,28,21801,99341,Standard
48,133782,12023,6,1,24.37,4,19,11,13579,57.01,7,5070,87079,Poor
51,49392,4851,1,6,21.91,2,7,8,75248,25.35,14,27694,74526,Standard
60,100422,8750,6,1,17.18,5,53,8,3794,21.24,23,24982,41499,Standard
42,66009,4512,2,3,16.33,3,4,4,4018,13.26,17,7049,50308,Standard
47,79460,6319,2,6,11.23,2,49,2,6895,19.0,25,20245,7522,Standard
64,30693,2114,4,7,14.71,3,26,8,28255,72.94,4,11310,57349,Poor
28,57125,5148,6,8,15.54,2,2,7,51807,93.6,2,251,27794,Poor
40,143905,11424,2,5,10.79,0,0,15,56446,20.81,13,17451,93231,Good
35,85570,7274,6,6,6.44,5,2,13,2456,46.38,3,28249,42033,Standard
57,76267,6529,4,7,10.79,3,1,10,22527,77.12,20,15076,91388,Poor
44,31551,2523,1,4,13.71,3,33,2,51873,83.35,24,11125,30041,Poor
42,122120,9520,1,2,15.61,1,57,11,46019,70.46,27,21149,20358,Poor
36,33474,2088,3,4,8.47,1,48,2,23218,90.62,21,16191,61811,Poor
57,119598,10152,4,6,22.28,5,20,4,57640,11.15,15,20689,40691,Standard
38,97518,7241,3,2,11.21,3,2,1,48331,79.85,3,21124,12835,Poor
60,97867,8193,4,8,16.61,5,57,1,58947,86.81,19,21359,25672,Poor
41,99299,8248,5,3,24.15,3,6,10,11053,50.41,6,1282,33472,Standard
49,149890,12389,5,3,12.28,2,24,13,44350,66.1,2,25861,83691,Poor
62,63863,4455,3,2,16.16,3,18,8,78997,83.6,11,2670,77380,Poor
63,38537,4088,3,5,24.35,5,42,12,16901,58.55,3,10144,74259,Poor
45,104343,9316,3,3,18.4,5,43,2,55496,50.76,1,11881,41483,Poor
32,144671,11493,3,8,8.84,1,9,2,38770,81.0,4,16635,71748,Standard
54,24947,2433,3,3,16.94,1,10,5,21697,69.91,2,13463,48749,Poor
64,114317,9012,4,5,20.05,3,14,7,40562,91.9,26,15368,26430,Poor
44,108907,10014,5,8,14.23,2,49,12,65916,52.47,6,26767,27174,Poor
59,38140,3965,3,1,17.82,2,35,3,67621,81.6,10,2748,22012,Poor
38,78893,7428,5,3,21.62,0,60,7,59130,84.62,30,873,55381,Poor
24,71964,6025,3,4,12.72,0,23,7,3694,33.68,4,27498,94677,Standard
62,63947,5948,2,3,5.77,3,44,4,61487,45.37,1,29683,11384,Poor
22,53544,3903,2,7,7.22,2,15,9,15970,9.3,14,20937,82633,Standard
50,28232,1579,4,1,17.64,4,15,4,38177,43.63,20,11561,32531,Poor
57,74600,5599,6,2,15.47,2,4,0,51177,83.6,2,20829,51709,Poor
44,53246,4967,1,6,20.77,2,15,3,76271,71.17,11,4371,6811,Poor
43,91567,7323,6,3,21.61,5,29,15,23891,78.03,3,23463,60988,Poor
23,58462,4283,1,4,22.72,2,59,9,67552,40.84,27,17794,63049,Poor
37,24799,2608,6,4,10.72,0,55,10,35811,16.2,12,14318,53431,Poor
49,137261,12396,4,6,24.47,3,44,15,48148,88.19,17,8739,11828,Poor
48,30345,2409,5,3,15.91,2,6,2,42981,64.48,10,14611,79986,Poor
48,41842,3898,4,6,13.94,5,55,11,57008,29.71,26,1879,10835,Poor
63,103560,8461,3,3,24.06,1,54,14,4561,16.36,8,25510,85562,Standard
44,67467,5406,5,1,17.1,5,28,11,48760,44.95,3,18806,19047,Poor
54,68096,5489,3,5,9.99,0,1,5,65410,51.6,30,18404,16435,Poor
37,121576,9664,6,8,9.29,4,18,15,26237,16.04,28,2426,60250,Standard
32,137791,11942,4,2,21.21,2,42,11,8511,54.5,10,29207,40315,Standard
31,113298,9894,6,3,20.87,4,14,3,26342,76.29,8,25898,65752,Poor
22,67303,5742,5,6,14.35,4,8,2,8617,32.84,23,23555,63739,Standard
54,73843,6728,4,2,7.51,2,41,2,58979,46.92,17,11289,17821,Poor
56,103859,8857,2,3,13.65,0,53,3,67908,18.77,6,5307,43291,Standard
35,65353,6386,5,5,21.92,2,12,8,16406,61.25,20,17481,13245,Poor
53,104015,8012,5,3,8.42,4,46,10,73874,8.71,28,929,11646,Standard
23,144327,12340,5,5,18.02,4,26,0,65278,85.01,18,9491,85136,Poor
40,83300,6442,6,7,10.95,0,44,1,20719,44.56,16,15218,27741,Poor
42,99516,7587,3,6,19.68,2,25,4,48567,51.35,4,10456,32685,Poor
50,36059,2551,4,4,7.82,0,18,12,54805,27.34,28,29566,21932,Poor
41,142388,12048,6,6,8.8,1,31,14,65373,84.12,16,759,12802,Poor
46,86249,7123,2,4,16.67,0,3,9,64866,58.78,27,21438,89148,Standard
51,57453,4886,1,2,13.62,2,46,11,52855,37.93,13,1676,75747,Poor
56,45513,3534,5,5,6.47,4,28,8,15572,16.58,4,12907,49915,Poor
42,93116,8681,3,3,8.98,4,25,1,5938,8.5,23,10913,63094,Standard
54,79898,5963,5,3,11.56,4,20,5,51505,94.16,24,27610,40221,Poor
58,64089,5378,5,8,19.17,2,30,0,48281,34.81,4,13649,77507,Poor
40,124432,11209,6,1,16.94,2,41,7,6731,57.52,6,17178,83447,Standard
60,121529,10849,4,3,21.43,1,2,3,25006,6.7,11,13722,20848,Good
47,110505,8625,4,8,22.46,5,46,1,18098,51.68,18,10651,87799,Standard
51,88875,7177,3,3,14.19,4,21,11,34650,59.91,7,8077,37569,Poor
56,59124,4387,3,5,19.1,5,45,15,41555,48.18,18,26063,95589,Poor
38,57721,4059,5,7,22.92,3,52,11,19198,31.14,10,23400,11358,Poor
43,141111,11664,6,5,19.95,1,12,8,73664,67.66,5,3579,81698,Poor
58,51363,3776,1,4,17.76,0,6,13,43292,69.56,4,22321,19018,Poor
21,146421,12328,2,7,18.06,3,30,6,37649,33.91,21,1938,12725,Standard
62,95252,7412,5,1,23.26,1,26,5,4763,94.75,13,25819,65930,Standard
32,142763,12429,3,1,5.19,4,38,3,43914,30.61,21,17802,69723,Standard
52,136557,12301,2,8,10.46,0,21,5,60150,63.35,23,6101,2846,Poor
42,123647,9907,5,4,8.51,5,57,12,56059,51.38,3,13134,88720,Poor
27,44219,2971,4,6,23.72,0,16,12,30870,45.21,9,10801,40576,Poor
58,114749,9735,1,5,18.07,5,15,1,15495,46.89,6,13284,90925,Poor
53,140993,12582,6,5,18.81,5,58,9,48174,60.32,8,4376,63676,Poor
30,79634,7167,5,6,13.32,4,58,15,70453,77.18,27,7156,33435,Poor
64,118925,10130,1,8,15.56,2,4,3,8094,79.59,29,16563,27497,Good
57,90341,6834,2,6,22.09,3,7,6,76434,48.99,29,16723,59390,Standard
24,79432,5889,5,7,14.14,0,35,14,40392,70.1,13,8338,1395,Poor
34,95800,7132,1,7,11.89,0,34,1,9046,93.75,16,1039,38629,Standard
47,43590,4206,2,7,12.49,3,28,12,49236,12.22,22,28657,71687,Poor
29,105660,9566,3,2,8.57,4,25,4,29188,80.13,25,744,40107,Poor
50,108276,9495,5,7,15.64,1,15,14,45371,18.96,7,28678,96030,Standard
28,24222,2675,6,7,17.3,0,15,6,8819,14.08,2,14628,79352,Standard
64,112181,10134,1,4,19.81,3,28,7,70747,24.55,28,25430,8398,Standard
29,86046,6762,2,6,16.55,5,52,10,31051,32.16,5,21633,69321,Poor
35,74206,5798,3,1,16.13,4,56,5,55994,55.03,2,11285,85320,Poor
63,69958,6438,5,6,18.93,3,9,9,49343,21.55,18,15516,32584,Standard
35,59418,5707,6,3,21.12,0,35,13,54592,55.16,5,12727,32831,Poor
37,46651,3563,6,2,23.44,2,5,6,6755,29.16,22,19823,80026,Good
23,134507,10357,2,4,14.59,2,19,0,27762,89.34,24,3844,98894,Poor
51,139857,11150,6,4,12.93,1,35,10,37101,39.26,18,21257,48088,Standard
40,54283,4259,5,8,14.32,5,30,10,26624,38.36,14,1498,74731,Poor
35,117157,9061,1,5,16.07,4,37,13,38691,18.72,11,7537,50786,Standard
57,129230,10272,4,6,10.15,3,46,15,60401,20.14,26,11540,23185,Standard
29,114412,9653,4,3,23.34,4,41,1,68674,8.04,28,2435,88584,Standard
24,120183,9028,4,3,21.85,1,4,4,1198,24.68,15,12229,8923,Good
60,103588,8997,5,8,18.19,0,0,13,1553,6.51,24,9002,71220,Good
39,22246,1881,6,7,21.12,1,6,3,68732,18.4,7,20308,70003,Standard
37,126851,10295,3,7,6.58,3,29,7,29603,32.0,27,27782,11566,Standard
62,149980,13255,6,1,6.87,3,24,15,7355,62.31,23,5615,11837,Standard
52,130799,10787,6,6,16.32,0,57,1,30115,24.03,28,22684,75289,Standard
51,55532,3722,1,5,22.99,4,42,1,23508,88.59,11,513,28152,Poor
58,38899,3781,6,7,23.58,2,10,7,74277,80.12,13,22185,71852,Poor
42,70311,6406,6,3,20.81,5,46,2,65639,72.09,12,1759,13803,Poor
48,50427,4919,1,6,17.1,4,38,12,42778,7.67,9,25675,60054,Poor
52,49902,3886,5,7,13.64,5,37,12,11232,74.5,10,26150,33302,Poor
25,30752,2110,2,7,19.23,5,9,12,41507,37.46,3,170,41405,Poor
49,67175,6156,3,2,7.65,1,27,14,73005,54.93,14,3384,4442,Poor
26,66388,5667,1,6,22.27,0,18,13,50829,75.13,24,29528,74339,Poor
36,94967,7980,2,7,8.39,2,19,8,64634,18.13,6,14243,37170,Standard
47,59289,4931,1,6,10.03,1,46,15,77831,60.5,15,3505,18758,Poor
40,20887,2683,4,6,21.83,3,51,10,57700,35.13,27,26985,86332,Poor
59,37842,2768,3,4,14.58,1,25,10,38200,71.14,21,16089,76481,Poor
36,62714,4996,3,7,12.3,4,12,5,72102,7.42,24,15126,93847,Poor
34,77469,7088,3,2,21.38,3,43,15,18242,62.0,8,8279,87332,Poor
30,113747,9344,4,2,13.98,4,30,12,70040,50.6,30,28496,91663,Poor
47,91256,6679,3,2,7.19,1,42,11,21802,63.23,2,18455,85545,Poor
64,104769,8548,3,7,7.12,0,16,7,66935,72.22,18,19022,91133,Poor
57,48971,3992,3,7,14.26,5,37,4,45215,94.79,16,3425,39722,Poor
47,140658,12690,1,2,21.63,5,9,11,40880,35.88,26,6778,69303,Standard
51,65652,5446,1,8,19.44,3,20,2,39356,9.02,23,3771,3960,Poor
42,104930,7967,6,3,23.6,5,15,5,72339,19.41,18,13971,61562,Standard
35,124563,10209,6,3,8.73,5,27,12,3826,71.36,29,6465,59926,Standard
58,76302,6154,1,4,9.12,5,51,2,75674,14.16,28,17592,25505,Poor
44,62727,4630,4,2,10.25,3,33,10,78246,39.98,13,19234,15972,Poor
43,66135,6242,4,3,21.27,5,51,9,77354,12.63,5,10262,16448,Poor
36,60026,4241,2,6,18.87,4,24,13,78174,17.41,13,13862,25347,Poor
52,103296,8708,6,3,16.1,3,18,4,24523,33.31,15,20296,8026,Standard
43,144759,11082,4,3,8.9,3,35,15,53626,66.62,14,23269,59176,Poor
52,41922,2662,5,1,20.92,1,18,1,36025,25.24,10,5511,60942,Poor
57,117323,10358,4,2,16.45,2,49,11,71046,79.03,2,24903,95238,Poor
49,91611,7081,4,2,19.72,5,48,7,39021,83.73,2,14736,35447,Poor
43,133010,11756,1,8,22.31,0,49,7,27509,77.96,19,22581,46957,Poor
60,102938,8454,2,3,20.7,1,51,1,74720,36.57,9,19557,71617,Standard
31,62421,5642,3,5,16.45,4,57,3,17771,91.65,26,13487,8770,Poor
38,133645,11480,2,3,9.99,5,20,7,51472,49.05,19,20722,36221,Poor
61,74293,5959,4,2,17.67,0,25,8,48374,45.92,16,10724,77278,Poor
21,133889,11742,6,2,19.62,3,40,11,8300,76.61,13,7137,57314,Standard
34,84843,6619,3,5,11.76,4,8,15,45054,85.47,25,1586,7021,Standard
27,102074,9111,4,1,7.48,1,28,14,88,94.27,14,6629,91255,Standard
29,135624,11633,3,3,22.49,2,5,11,32819,12.42,22,29615,86054,Good
31,26787,2043,6,5,19.52,1,27,2,12475,5.1,16,2553,18393,Standard
58,49647,4200,6,8,5.19,5,21,3,55353,67.46,16,2320,31008,Poor
45,31708,3138,1,2,11.27,2,8,12,17451,62.74,22,4681,9966,Standard
54,93831,6836,5,3,13.8,5,13,4,53963,60.45,15,28179,29474,Poor
26,137518,10664,2,2,16.79,3,22,13,41222,76.2,8,9075,85491,Poor
26,52527,4510,5,5,20.58,5,1,9,26928,51.6,17,6181,99021,Poor
46,58737,5217,1,4,14.9,0,15,15,77847,11.39,29,395,48329,Poor
41,37299,2900,5,7,12.31,5,11,15,9567,6.5,3,451,35365,Poor
34,25220,2990,1,7,15.13,5,45,13,55518,68.16,3,20989,71328,Poor
55,100746,7707,3,2,11.2,4,58,6,20365,53.28,13,19216,84138,Poor
62,109267,9422,1,5,18.97,5,54,7,7589,27.0,30,14237,16202,Standard
50,100254,8600,1,5,18.32,5,47,5,15655,6.14,5,22986,2487,Standard
31,85065,8039,3,5,8.34,1,47,8,15473,74.43,1,10977,57272,Standard
38,88662,6518,3,2,14.92,4,23,1,65484,82.34,6,12048,21618,Poor
37,121361,9323,5,2,9.57,4,0,1,1610,27.01,16,11926,51197,Good
30,43456,4528,1,7,9.49,1,26,10,35554,79.34,19,12216,16650,Poor
53,108254,9868,1,3,9.46,4,2,12,9034,83.93,28,9250,41723,Standard
41,31322,2742,4,1,12.38,2,36,9,31795,46.75,19,16166,26614,Poor
55,119677,10603,2,3,5.13,3,1,7,70981,36.18,27,22723,2257,Standard
42,20191,2236,6,7,21.98,5,19,3,26895,52.68,8,13756,65491,Poor
24,147475,11580,6,5,6.86,1,57,13,48823,46.26,24,2782,77122,Poor
27,86247,6460,6,7,6.5,4,3,13,17132,26.31,9,27882,42288,Good
46,111845,10023,6,6,11.36,2,14,2,26569,17.25,25,19159,15283,Standard
30,33848,2156,4,8,11.28,0,34,11,27215,45.67,15,8683,16717,Poor
26,40658,4041,6,5,21.53,5,38,1,28183,80.23,11,4860,12955,Poor
36,146930,11972,4,1,18.54,2,52,5,4073,90.69,28,14817,73869,Standard
56,52748,3588,4,2,21.08,1,7,0,8083,79.73,8,4283,26969,Standard
46,68790,6137,6,2,16.65,2,58,2,2857,94.74,7,29572,85670,Poor
49,126076,9769,1,6,7.45,3,3,5,75220,43.98,24,12943,66028,Standard
22,70165,6246,4,3,12.08,1,17,8,58459,84.51,2,20123,82156,Poor
60,52215,4676,3,8,13.24,4,30,1,11497,30.18,5,13737,27143,Poor
62,135953,11961,5,4,17.62,4,50,0,50134,75.37,12,15718,72371,Poor
52,65093,6293,5,6,12.77,1,1,10,78265,24.71,29,26564,37822,Standard
24,125991,10465,5,6,20.34,1,10,3,32487,64.12,9,17487,97607,Poor
24,120145,10953,2,7,12.1,1,11,7,77662,33.62,24,22859,48026,Standard
58,23697,2414,6,6,23.95,4,9,6,64517,53.79,6,16070,5975,Poor
26,27362,1756,5,4,5.4,3,0,10,26406,77.58,11,23492,24260,Poor
41,27806,1361,2,3,20.49,4,55,11,9506,38.62,22,12962,77810,Standard
27,64113,4960,3,3,24.52,5,60,13,63858,63.43,6,23172,74659,Poor
65,136601,12285,5,6,9.46,4,52,5,49595,32.61,23,9650,17691,Standard
32,115529,8630,6,7,22.02,4,2,5,78956,33.64,26,20033,29953,Standard
61,94127,7056,4,3,11.62,0,15,11,41879,20.11,29,2907,93925,Standard
63,103768,9140,3,8,5.23,1,15,2,45938,28.1,4,23606,1167,Standard
24,70585,5779,6,7,24.38,3,31,12,46036,54.14,4,27158,63847,Poor
57,105323,9328,6,4,8.25,0,51,1,38654,6.81,9,3431,10725,Standard
42,42296,4342,4,3,19.64,4,60,2,44295,58.46,20,29269,64273,Poor
22,76534,7307,6,3,17.15,3,10,1,13272,34.8,7,13411,92382,Poor
56,114638,10448,6,5,18.21,2,15,3,6505,40.36,18,27520,65349,Standard
30,27144,2000,1,7,6.75,5,40,15,26171,13.73,7,5597,84648,Poor
39,148064,11505,4,2,11.17,3,30,15,34734,13.2,18,12698,25232,Standard
44,136063,11119,3,3,13.92,2,28,14,34524,25.36,9,18489,9079,Standard
30,118596,10309,6,2,6.71,2,51,13,77296,25.48,2,27551,51738,Standard
54,74870,7216,5,8,16.45,1,30,9,10348,40.53,28,23406,5551,Poor
53,94870,8749,5,3,7.41,3,11,5,27772,77.76,5,1398,56492,Poor
26,149535,12860,4,4,24.95,5,9,8,41910,86.97,30,26455,9783,Standard
26,70868,6044,4,6,22.13,4,29,0,77014,52.03,14,3687,55321,Poor
30,39424,3445,5,2,23.5,4,49,3,37498,83.07,29,11267,54856,Poor
37,70206,6191,4,8,5.75,2,25,4,79777,66.27,13,1270,52877,Poor
42,110507,8694,1,8,23.42,2,1,10,39722,32.99,27,16109,92250,Good
64,32873,3730,2,3,11.01,5,28,10,35313,70.59,20,21153,12703,Poor
33,77896,5923,4,8,20.19,2,52,1,67537,76.23,3,10194,94004,Poor
53,72872,5349,5,1,8.47,1,53,1,32701,7.98,2,11808,93357,Poor
33,55910,4413,4,7,17.71,0,43,0,31711,38.52,20,14617,24276,Poor
51,96923,8205,3,6,8.27,2,47,2,37364,7.47,2,5338,76007,Standard
34,132343,10481,6,4,18.55,2,41,13,67276,6.8,25,25151,90417,Standard
21,82140,7711,2,3,17.02,0,14,8,79736,77.46,10,23355,93978,Poor
62,56094,4541,4,6,14.18,1,29,9,68241,79.19,13,19152,14410,Poor
21,87045,7609,3,5,10.97,0,30,2,44077,93.95,21,10654,37291,Poor
37,105998,9289,6,5,8.77,4,48,7,7441,77.49,26,26543,79647,Standard
46,106577,8535,6,3,19.43,5,31,9,34003,86.62,13,12722,97564,Poor
23,96418,8484,5,4,11.86,5,14,15,46988,50.66,28,5570,87194,Poor
56,43741,3246,1,8,7.56,2,46,5,43992,63.9,8,11641,30272,Poor
40,75112,6873,3,6,10.21,2,29,3,61674,9.83,21,19122,77062,Poor
60,29334,2411,2,2,22.35,3,33,9,54146,9.87,28,4940,19004,Poor
33,64914,5247,5,8,7.86,5,11,2,63908,34.94,6,10269,84165,Poor
24,20617,1643,3,4,20.22,1,36,5,64169,75.67,25,2884,17961,Poor
60,76847,6700,4,7,13.58,3,24,0,4944,53.04,24,12225,2845,Poor
41,119201,10639,5,4,5.36,0,40,7,29657,67.42,12,10226,17899,Poor
27,70272,5886,5,5,8.34,0,19,9,59759,70.5,20,17174,45280,Poor
48,136388,11771,2,6,24.92,3,22,6,21611,90.33,30,26607,53873,Poor
22,49939,3620,6,3,9.22,0,37,5,16143,37.99,21,25956,5897,Standard
45,134890,11551,3,1,16.88,0,42,3,2587,9.34,4,13656,59237,Standard
